x,y,status,duration_sec
1.0,1.0,success,3.96
1.0,2.0,success,8.79
1.0,1.0,success,10.63
2.5,3.5,success,15.82
1.0,1.0,success,21.23
0.0,3.0,success,16.41
1.0,1.0,success,17.21
4.5,1.2,success,15.09
1.0,1.0,success,22.63
3.2,4.1,success,22.75
1.0,1.0,success,23.48
2.3,1.7,success,12.45
1.0,1.0,success,15.5
1.1,0.8,success,2.8
1.0,1.0,success,0.08
3.4,2.2,success,17.25
1.0,1.0,success,22.4
4.0,2.5,success,19.9
1.0,1.0,success,20.66
1.8,3.7,success,19.09
1.0,1.0,success,22.84
0.5,2.5,success,15.07
1.0,1.0,success,13.44
2.0,1.0,success,8.36
1.0,1.0,success,10.67
3.3,2.1,success,18.23
1.0,1.0,success,21.49
3.5,3.0,success,22.28
1.0,1.0,success,22.79
0.0,0.0,success,7.28
1.0,1.0,success,111.13
1.1,1.1,success,0.1
1.0,1.0,success,0.09
2.8,2.8,success,19.25
1.0,1.0,success,22.01
4.2,0.6,success,16.85
1.0,1.0,success,21.94
1.9,2.3,success,12.97
1.0,1.0,success,13.45
2.6,1.6,success,13.47
